date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:56	586662/586662	---M--	200	added ('OK')	image/png	etag:%225815b454dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaTrainee.png	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/ImagemAbaTrainee.png	(from https://www.mudes.org.br/Canal_Empresa/programa-trainee)
13:58:56	888787/888787	---M--	200	added ('OK')	image/jpeg	etag:%226448b5b454dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/ImagemTopoPagina.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/ImagemTopoPagina.jpg	(from https://www.mudes.org.br/Canal_Empresa/PerguntasFrequentes)
13:58:56	13503/13503	---MCZ	200	added ('OK')	text/css	etag:%2238726b956b6dd51:0%22	https://www.mudes.org.br/Content/Estilo.css	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Content/Estilo-2.css	(from https://www.mudes.org.br/Canal_Empresa/FaleConosco)
13:58:58	19443/19443	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Nov%202019%2016:58:37%20GMT	https://www.mudes.org.br/Canal_Empresa/Empresa/rhlf-convida-para-o-lancamento-do-xiv-congresso-103	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Canal_Empresa/Empresa/rhlf-convida-para-o-lancamento-do-xiv-congresso-103.html	(from https://www.mudes.org.br/Canal_Empresa/Noticias)
13:59:00	23558/23558	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Nov%202019%2016:58:39%20GMT	https://www.mudes.org.br/Canal_Empresa/Empresa/fundacao-mudes-completa-53-anos-92	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Canal_Empresa/Empresa/fundacao-mudes-completa-53-anos-92.html	(from https://www.mudes.org.br/Canal_Empresa/Noticias)
13:59:02	20031/20031	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Nov%202019%2016:58:41%20GMT	https://www.mudes.org.br/Canal_Empresa/Empresa/ciencia%2c-emocao-e-profissao-deu-inicio-ao-ciclo-de-palestra-no-programa-juventude-aprendiz-83	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Canal_Empresa/Empresa/ciencia,-emocao-e-profissao-deu-inicio-ao-ciclo-de-palestra-no-programa-juventude-aprendiz-83.html	(from https://www.mudes.org.br/Canal_Empresa/Noticias)
13:59:04	20216/20216	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Nov%202019%2016:58:43%20GMT	https://www.mudes.org.br/Canal_Empresa/Empresa/programa-juventude-aprendiz-realiza-ciclo-de-palestra-da-vida-ao-trabalho-77	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Canal_Empresa/Empresa/programa-juventude-aprendiz-realiza-ciclo-de-palestra-da-vida-ao-trabalho-77.html	(from https://www.mudes.org.br/Canal_Empresa/Noticias)
13:59:06	20418/20418	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Nov%202019%2016:58:45%20GMT	https://www.mudes.org.br/Canal_Empresa/Empresa/fiscalizacoes-periodicas-da-secretaria-de-inspecao-do-trabalho-76	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/Canal_Empresa/Empresa/fiscalizacoes-periodicas-da-secretaria-de-inspecao-do-trabalho-76.html	(from https://www.mudes.org.br/Canal_Empresa/Noticias)
13:59:08	123045/123045	---M--	200	added ('OK')	image/jpeg	etag:%22fa8afb5a454dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/logobrasas2015.jpg	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/logobrasas2015.jpg	(from https://www.mudes.org.br/Canal_Empresa/parcerias-mudes)
13:59:09	132073/132073	---M--	200	added ('OK')	image/png	etag:%226dc21e5b454dd51:0%22	https://www.mudes.org.br/ImagensCanalEmpresa/setaLeft.png	C:/Users/AnaPaula/Desktop/IFSP/2019%20-%20Semestre%202/DW%201/Trabalho/Mudes/www.mudes.org.br/ImagensCanalEmpresa/setaLeft.png	(from https://www.mudes.org.br/Canal_Empresa/parcerias-mudes)
